"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    
          0,           0,           0,      -3.927405082,      -16.92457636,      -17.79244471,      -10.38409459
          0,           0,           1,      -4.311337712,      -4.052295155,      -3.875379692,      -10.34133861
          0,           0,           2,      -4.352004768,      -4.436749534,      -4.244689379,      -10.41671523
          0,           0,           3,        -4.5273644,      -4.665024601,      -4.404214668,      -10.38721679
          0,           0,           4,         -4.731255,       -4.69293273,      -4.432701495,      -10.36066977
          0,           0,           5,      -4.771390767,      -4.704170577,      -4.452636516,      -10.36267859
          0,           0,           6,      -4.776805572,      -4.664338202,      -4.435787726,      -10.37528872
          0,           0,           7,      -4.779748091,      -4.613343716,      -4.420981739,      -10.39315376
          0,           0,           8,       -4.78556036,       -4.56475102,      -4.414244122,      -10.40437437
          0,           0,           9,      -4.790792052,      -4.525953533,      -4.417897132,      -10.40965422
          0,           0,          10,      -4.792221675,      -4.499681618,      -4.431382788,       -10.4096792
          0,           0,          11,      -4.789738588,      -4.486106533,      -4.452304159,      -10.40768037
          0,           0,          12,      -4.785893176,      -4.484121921,      -4.476771828,      -10.40409907
          0,           0,          13,      -4.783574663,      -4.491906818,      -4.499652585,      -10.40072055
          0,           0,          14,      -4.784645284,      -4.506863253,      -4.515466625,       -10.3973808
          0,           0,          15,      -4.789689737,       -4.52533392,      -4.520295393,      -10.39353645
          0,           0,          16,      -4.798309524,      -4.542801336,      -4.513862207,      -10.38973775
          0,           0,          17,      -4.809415291,      -4.554994319,      -4.499606845,      -10.38557056
          0,           0,          18,      -4.821391066,      -4.559645888,       -4.48249335,      -10.38056862
          0,           0,          19,      -4.832259824,      -4.557464357,      -4.466686748,      -10.37494192
          0,           0,          20,      -4.839987203,      -4.551338789,      -4.454580729,      -10.36908024
          0,           0,          21,      -4.843026779,      -4.544550771,      -4.446811524,      -10.36297684
          0,           0,          22,      -4.840836711,      -4.539447501,      -4.442704466,      -10.35665905
          0,           0,          23,      -4.834023737,       -4.53696771,      -4.440773823,      -10.35082431
          0,           0,          24,      -4.824027721,      -4.536697631,      -4.439192303,      -10.34527505
          0,           0,          25,      -4.812466542,      -4.537220693,       -4.43629702,      -10.33987784
          0,           0,          26,       -4.80066864,      -4.536697805,      -4.430971528,      -10.33458208
          0,           0,          27,      -4.789464657,      -4.533565724,      -4.422831959,      -10.32933014
          0,           0,          28,      -4.779168445,      -4.527154339,      -4.412209873,      -10.32410296
